"","aborto","acecho","actitud","adulterio","afeminado","ama","amor","amour","anciano","andrógino","anormal","anticonceptivo","argot","arte","atractiva","atractivo","autoconciencia","autoridad","ball","barbie","bella","belleza","bitch","boda","boy","cant","carrera","cautivadora","chica","chillón","cielo","comportamiento","condena","condenar","coqueteo","crimen","cuerpo","culpa","dejar","delirio","demonio","deporte","divorcio","dote","drag","dramático","dulce","dulzura","educación","empleado","empleador","encantador","encantadora","engañar","ética","ex","familia","fecundidad","femme","garçon","gay","género","genital","gerente","harem","harén","hermafrodita","hombre","homicidio","honor","identidad","igualdad","imaginario","incomodidad","inmoral","intolerancia","invertido","jefe","jerarquía","joven","lady","legalizar","lgbt","liderazgo","madre","mafia","magnífico","mal","manera","maternidad","matrimonio","mujer","mutilación","natural","naturalización","ninfómana","orgullo","ortodoxo","padre","papel","paternidad","patriarcado","patron","perra","poder","porno","pornografía","privilegio","progenitor","pronombre","queer","radical","reglamentario","religion","religión","remuneración","rico","tallo","tortura","toxicidad","tráfico","traición","traicionar","trap","vagina","víctima","viejo","vih","violación","violence","violencia","vogue","zina","zorra"
"aborto",1,-0.0751058491638217,0.144365446759011,0.145756277603739,-0.0824017688690604,0.0602092655815594,0.0853381319468529,-0.051206537469654,0.0315459062279885,0.0998765758630128,0.0659606901362695,0.101276832832671,0.0473483442586929,-0.0212153367900831,0.115170440869361,0.0838840280547894,0.0561531024904005,0.0247320546462586,-0.0641794681677487,0.0233041607206209,-0.0229851371245048,-0.0788096259789262,0.0446019747964395,0.117834711313368,-0.047520656064906,0.0299967510907228,0.0838264706286183,0.0304556946109646,0.12311526483507,0.00401756413845126,-0.0761273708376233,0.0269862785585542,0.133907579961633,0.109437092049588,0.0206930282824919,0.117829833970695,0.0207527235240045,0.162570224661069,0.100320685446703,-0.0207249568648081,-0.0281569293827606,0.0192454107746386,0.279196154462217,0.147705762395707,-0.00403550987908877,0.0625533727887705,-0.0113271826656648,-0.0471434092878514,0.16597339124181,-0.0144140870805314,0.0186643457215576,-0.0447404596649192,-0.0137910909130779,0.00959175884426066,0.0670528647706449,0.0614985719578371,0.198627936644789,0.0713544502293117,0.0606919553009038,0.0385979445825962,0.0705236845138919,0.03243639636128,0.0285775948038104,-0.0389262233385895,-0.0295178351236405,0.0113931181166522,0.112113287717954,0.0390367780755269,0.11088187617434,-0.0652170312531755,0.0495420807608903,0.13841368914054,-0.0316398412254526,0.0554596302598935,0.0831454503600716,0.0503695720066462,-0.00278467446632607,-0.131262170065552,0.0494057912817713,0.0693400040886857,-0.0367306722268225,0.135655862271078,-0.0974307545264402,-0.0426540603909129,0.232040180072281,0.102523594495006,-0.0840087037520288,0.15459580499091,0.105636094595588,0.173967215248236,0.258547313624577,0.214684466461627,0.132334995291102,0.104580612195275,0.0753318074044104,0.208960216858845,-0.0164011341574868,0.0140037782723535,0.15366911459306,0.0441051925521991,0.248223115779983,0.0576121589401772,-0.126798150441206,0.0752367266221414,-0.0116685196443298,0.0917287580301043,0.0890085835423277,-0.00734847789054174,0.0231952304948363,0.0376410291637384,0.0414935428807989,0.107345712046487,0.00507902244683296,0.045101700536872,0.182006426713809,-0.0271054373349487,0.0246908967336691,-0.0261079733306063,0.0739240734567466,-0.000223861979757731,-0.0514005370818156,0.0435266405950822,0.0524939948821245,-0.0574204700151603,0.0906560037490274,0.0563302417347782,-0.109335903669262,0.143029812916604,0.156230835800883,-0.0354530098039769,0.110049291260789,0.00345660840742621,-0.0304884955603339,0.110433666896392
"acecho",-0.0751058491638217,1,0.043957765223314,0.0358581104582008,0.0298143787884226,0.00986351959873295,-0.00313856082734447,-0.0658650453127086,-0.00430383951821974,-0.00610121371072159,0.0520110547762516,-0.0540587583856587,0.0196120825640526,0.0264470100824835,-0.00605074882541723,0.00149761096397469,-0.0274558042970438,0.0290258425442218,-0.03399767238704,-0.00472139462409525,-0.0167239732433682,0.0614685441431127,0.0104362481854271,-0.136228829515318,-0.059877800855662,-0.0426682684171972,-0.0151312572925984,-0.0214887956247135,-0.0355916679593533,-0.0322935234559096,-0.00417272041687014,0.0458015585677581,0.0648110976146568,0.0840338987889463,-0.0194617071319342,0.08661327076745,0.00558399725163083,-0.0332379970355946,-0.0260332547507474,0.0925274356758024,0.107582955525793,0.031149968034998,-0.0985422719612533,-0.00647925572346566,-0.0886316931714683,0.0578491331318541,0.0183389872802317,0.0234292792010183,-0.0780570329034188,0.0176362983126091,0.0112079681623048,0.00904236813043851,-0.0188926153640643,-0.0260529765337856,0.0206156022415377,0.0339341514305464,-0.0494163796024675,-0.037673925631607,0.0346157470540705,-0.0479191629588649,0.00686683133439802,0.0255444421492262,-0.0759044773158463,0.0600888102501185,-0.00811608006763584,0.0366022321390628,-0.0374954755824588,0.0705435950022773,0.0141279087733138,-0.0177241195874807,0.0765182069814984,0.0296501510603402,0.0496886923831636,0.00829827891317488,-0.042874456600581,-0.0388800646334129,-0.0576879083434595,-0.0533852319748442,0.0649778731495843,0.0372399339767324,-0.0291393929057109,-0.0484880439500027,0.0369745108938623,0.0721990239902599,-0.104656638883189,0.0766840364571398,0.0555032075453586,-0.0128487105041798,0.037618432310526,-0.0650708189010432,-0.0478992403059087,0.0432809953625341,0.0353403120472734,0.0342060450516884,-0.112155083844539,0.00903378262023176,-0.0809370431587581,-0.0108210692095392,-0.0802117949869228,-0.0259628738077451,0.0382087728891358,0.0356783638769793,0.119933378088079,0.0255210279766229,0.0382760675525876,0.0194918592681849,-0.0278260627717316,0.00817954513580776,0.0771128305792387,0.0171734912395776,-0.0998376379836724,0.0101574929305135,-0.046249907049036,0.022959316940589,0.0371679284613354,0.00762880837073971,-0.0531158125394936,0.0102388227624315,0.0594087712962742,-0.0975405289430657,-0.024293893571385,0.0459388808502444,0.03899140685994,0.0431755632557979,0.00520513196639203,0.0956790684166244,0.027869178760925,-0.00557266347848813,-0.00145022016725221,-0.045351082638603,0.0821384380843387,0.0111656718577862,0.00305672997725922,0.00406384366635551
"actitud",0.144365446759011,0.043957765223314,1,0.10904198456747,0.0585423385355402,0.126296039703125,0.0144827174102788,-0.0369158985768691,-0.0563129331311923,0.0869315788502919,0.187791902388901,0.0797735422775374,0.047707626591036,0.136719804747445,0.234998689671846,0.203715853947152,0.0737275915622717,0.297517599125166,-0.0298786864009772,0.0777887013178098,-0.0307979800783893,0.0629321992413437,0.0172690544954735,-0.0341228910710849,-0.0355980439735203,-0.105625891674337,0.163853597593372,-0.00887923854893424,0.0878306438459473,-0.0603131015137194,-0.186839681920871,0.452510181354413,0.0684748551135298,0.120684265928975,0.0494834308694093,0.0981257694636764,-0.0241325086783259,0.157764405884183,0.104478698173696,0.086363096833712,-0.0460527029728615,0.105071423218804,0.196238023065495,0.030749623256936,-0.0118503104233527,0.162465250255983,-0.0365844095887445,0.0786775017800283,0.331133568732426,0.08858471453037,0.114558924374679,0.0694469602828417,0.0723929949302173,0.0834886027867753,0.199079101811031,0.11215064247553,0.131497701007721,0.0263878082842153,-0.00174517127068834,-0.0679373522752122,0.149874673497926,0.147366115421418,0.0927769768465273,0.0420912815074887,-0.0940886757993306,0.00581833604709889,0.0837565652781173,0.094634585962594,0.0775053121043155,0.0540458517680351,0.137902314644605,0.201928369829264,0.0290897862084296,0.0463019189089841,0.20930387392382,0.156368622110608,0.0162337811520918,0.020841124582875,0.154237286660026,0.123795374377552,-0.0290498170275936,0.0507469342049346,0.0378535442644536,0.209542164904707,0.00759900608908397,0.0212300908716345,-0.0193365045046742,0.236878920655939,0.321005948472763,0.00738762083449836,0.199013187625122,0.165318530657866,-0.0268632098131257,0.176428408105024,0.0331090573352124,0.0590074974877586,0.179991716206062,0.13033110692751,0.00964849117626064,0.120216845618592,0.127543075274373,-0.0460891098013279,-0.0222014578601867,0.00454452730412242,0.168712514796543,-0.00284663943677744,0.154644812576754,0.139075632674389,0.0443190539055335,0.0942942972972504,-0.0120939633103049,0.187538982073625,0.0514155422553849,0.0132831299056696,0.168339890447659,0.0519742211012374,-0.0118214410387951,-0.027156815037613,0.110586927142162,0.0384813344654122,-0.0494262289015365,0.166058012802923,0.149343988607805,-0.0635212435486165,0.0601211172915577,-0.00568640123910421,-0.0652254995592327,0.0923787547328267,0.137959594158638,-0.0178689028283357,0.259536344105186,-0.03174040950571,-0.0847038250950958,0.0505685536587616
"adulterio",0.145756277603739,0.0358581104582008,0.10904198456747,1,0.107281565483875,0.176147904864754,0.208753209895643,0.0408790141976954,0.0215169368558953,0.0356897066200717,0.0486445483466254,0.0960121891495812,0.027479862866197,0.0688306390078531,0.0671097696049259,0.0604962238882206,-0.00841190580346385,0.170073612968751,-0.0238108244310772,0.0279089936379866,0.0467715533194451,0.0720467543204037,0.047142019154516,0.108845103290166,-0.0324048469839957,-0.0345250941011684,-0.00413426315815083,-0.0233674119120242,-0.00216897334679735,0.0715174008651097,0.044935933111016,0.155073715563069,0.225512090935579,0.251260608607342,0.0821149889159144,0.352946029130109,0.121375406664024,0.195566558407417,0.0369156205725168,0.0464104999270009,0.124393906040415,-0.00159175888597615,0.307960580008766,0.0769916147044423,0.0875681055538642,-0.0205379755738486,0.0392557793352147,0.068965877887624,0.122538519218251,0.0441512663721576,0.0391693290762974,-0.00895933314186919,0.0668228217460296,0.148685063837958,0.145545934260715,0.094341132973749,0.151247216986755,0.0291635272411053,0.0429299968591354,-0.00283801260371104,0.0297482389602383,0.0734425769160908,-0.00761916762178136,-0.0963636380304198,-0.0570461676761336,0.0695933925130279,0.0877451386839446,0.138279433247585,0.239987297743404,0.0795163422410138,0.0689900408619704,0.101879644564427,0.0759460830289132,0.0539050498241396,0.288602335515012,0.146545681258983,0.0700292695460149,-0.161892214523818,0.0412705255701159,0.105141460655525,0.124167440677827,0.1229593838131,-0.0239320266010925,0.00417961596762835,0.172980284223709,0.0396378142001274,-0.0381374643977592,0.0856619828570114,0.024125759041052,0.0784588100659757,0.350860495651183,0.233815653641631,0.165656857261612,0.120239745119433,0.031179221649095,0.0706515985137884,0.118411020276729,0.0511826271286493,0.171322174507101,0.017012321350141,0.150289868288232,0.0211068943137948,0.0400011736839158,-0.00658160534647009,0.105734374148452,0.0625398114117166,0.105409465412329,0.059857789212833,0.0403579748897183,0.0518684867880075,-0.0196682835366656,0.0541071605583395,-0.092269548372704,0.133686155378741,0.229212041901281,-0.0314213778482188,0.0179595288320599,-0.0346397126875563,0.224361841978192,-0.0102953240941333,-0.0167201193754405,0.313653846030481,0.168259792706957,-0.0536175689979437,0.0584115345631637,0.139349892205208,-0.110375291392838,0.0492361547897497,0.268925738956594,-0.0335431740093014,0.19376674238001,0.0155375140902565,-0.0279939739220642,0.0976014948102159
"afeminado",-0.0824017688690604,0.0298143787884226,0.0585423385355402,0.107281565483875,1,-0.013157434116444,0.0316361845136682,0.0307803423583961,-0.00472476756104618,0.0811842787719005,0.0367031046759994,0.0399326632223237,-0.0113614737651092,0.0219494386172031,0.0934429542768245,0.151330956610523,0.121977446200325,-0.060669234009455,0.00742861608405125,0.165395180696833,0.0169372377805718,0.0160975639294648,0.0565910529336061,0.0403733489378522,0.0659103396606906,-0.00712634930577148,0.00767412702823236,0.0259172435488681,0.114715160011139,0.137440588385656,0.00955775403919744,0.0543755694282718,0.00630905895131218,0.00944139585779627,0.0847352839652908,0.0499361454757893,-0.0651939935370165,0.0274464265831255,-0.0527499313689544,-0.0550736270733792,0.0778743291620495,0.0359403347654286,0.0271275086089898,-0.0929660191238743,0.0935870809662558,0.0443861992500646,0.0549633812925447,0.0526783401467719,0.0310162870965822,-0.0376829441377358,0.0529166293475696,0.164556110904092,0.0646649974519,0.127272134115738,0.0868653170457889,0.161732502268145,-5.67957428649485e-05,0.00911438463061953,0.0440694071835616,0.0591433419020394,0.161034330999601,0.0188917186732209,0.0762298813015791,0.0915584909766858,0.0513980046500466,0.0125608548598647,0.0867737656526475,0.0740278961092696,0.00210848225210513,0.0740869083533924,-0.050521709348493,-0.0317888453057142,0.06398009543733,0.0247316514158584,0.163919751835284,0.0487591705005327,0.00168192183010183,0.0669439881682684,0.103398156725283,0.0730392599704111,0.0274095226556038,0.0334228282718758,0.0303044348519104,-0.0309706846547636,0.0193608947163515,0.0583723374885409,0.0108367383303836,0.129155684252163,-0.051508937501862,0.0574435859835895,0.02114372415179,0.0809356480192967,-0.0106548544522754,0.0402741741801774,-0.0446105923932181,0.0510385382456347,0.0527313260015011,0.0353067092704177,0.012986025339337,0.0274931102947208,-0.0648541391865142,0.103306996896868,-0.0690129324772182,0.12608022185322,-0.0696512237119069,0.0901347795713307,0.0954780945333758,-0.00328728104123302,-0.00454192669499161,0.10619781184162,0.0588792564482456,0.0113933384808692,0.0069776120275138,0.0112426854434833,0.0363502480361732,-0.123302599124092,0.119030969418788,-0.103101394776426,0.0424214387378085,-0.0589208056111812,-0.0431731191305323,0.0168429168195542,-0.044975022355314,0.00721916169021352,0.01717587138644,-0.0067365918619819,0.0762546013279107,0.0380341531563262,0.0329048268766143,0.0799818606796572,0.0880434408771122,0.0422433223729836,-0.0703372545955476,0.0972598892020986
"ama",0.0602092655815594,0.00986351959873295,0.126296039703125,0.176147904864754,-0.013157434116444,1,0.579241403912466,0.0710666864915559,0.148070719588284,0.130484971677214,0.0539530986517099,0.027388046760662,-0.0114738167521267,0.143691064660546,0.278500879980409,0.238288356003778,-0.0247091577894781,-0.0284986437303805,-0.0158006796527446,0.0382344055563424,0.345256555648625,0.302972801140638,0.00346375999778397,0.226657498296877,-0.135394095194774,-0.028173236555546,-0.0473383667480664,0.171035103124045,0.287199623416879,-0.0228358495792693,0.149325679454048,0.0691317665431207,-0.000969125755151641,0.0420903149687598,0.148437901674568,-0.0011627172245678,0.127251759710771,0.186919249099394,0.18990978277345,0.10861883160114,0.165733191307866,-0.0121462709347364,0.264162754591667,0.249140448347169,0.0895328140075122,0.0229430019426489,0.331723422793953,0.225600910071514,0.0853383103378144,-0.0621636719979523,0.0158416567421991,0.181767875787179,0.268866853973861,0.107118795795868,0.0448036487522705,0.0837731359854397,0.340513411120808,0.135215396926302,0.0675372147737906,-0.077921222904806,0.155309847235073,0.0485508450491471,-0.0720477650951994,-0.0141503790506393,0.0893193718599061,0.16580638737994,0.107722659873981,0.359762085824129,-0.0643264461958502,0.0931653246449222,-0.0779493311231522,0.0523241224713837,0.0915754844347045,0.00909781590285893,0.198477851281968,0.0840754114528717,-0.0952561504310477,-0.257838162847835,-0.00158627999095599,0.32650745530117,0.1542171529377,-0.0140788188069389,-0.0333670571189659,-0.0433226683260936,0.38928651531977,-0.0510195401372989,0.0447376367932914,0.135868612965486,0.219063613502159,0.0326598690429218,0.431665004513206,0.521833738391837,-0.0326978208681021,0.127537094024267,-0.0111456693632138,0.164327038916531,0.229888195532471,0.0560193474447108,0.364560646209479,0.0540326025733538,0.10363199448234,-0.0606644492930987,0.017614347056158,0.152060205235597,0.200412872348603,0.043371664409878,0.0653440019400267,0.0337470663262347,0.0827429964642984,0.0213516060315173,0.038101896396613,0.011115053940221,-0.112834437699278,0.101312192720282,0.233024158811026,0.00312531741326331,0.195408403654856,-0.00287727293683288,0.12367548103043,-0.104830281198738,-0.280242799253207,0.107727538498555,0.257965000593158,-0.157088179420602,0.123557406265604,0.00041053857150612,0.0275209725289267,-0.00888573783739082,-0.0416582142639007,0.0401459708243961,0.0891155763711219,-0.0240671648738893,0.0892784608609653,0.132738779939492
"amor",0.0853381319468529,-0.00313856082734447,0.0144827174102788,0.208753209895643,0.0316361845136682,0.579241403912466,1,0.159993275593347,0.145249302319131,0.148941367095844,0.0577906149903988,0.0258323272361476,-0.00669621413052418,0.162846999308111,0.218305786351941,0.214743141045346,0.0258717897329496,-0.209041096705907,-0.0723558282309584,0.0670718320114422,0.504875673618323,0.426509383974483,0.0340540169967785,0.327844599065957,-0.0737567680920109,0.0237415767905011,-0.0359595151567907,0.261764915289647,0.311950064546195,0.0462296725435443,0.390940312364774,-0.0321226168688695,0.00556050361162386,0.0102405583549436,0.107639870120091,-0.00613705978350571,0.220301786697505,0.21563469208616,0.176507140474872,0.143268010608533,0.23894972156284,0.00285855851282431,0.250624435429862,0.13517053967657,0.105521599172312,0.0470758337073219,0.58537888576119,0.45661189671794,-0.0240223392714367,-0.200007315574974,-0.110993452381134,0.198363221688533,0.297761540389058,0.111861941726622,-0.0199848966145733,-0.00629456798290513,0.225199751316866,0.133196584551206,0.0878567679279403,0.0234308656422298,0.18602109470235,0.0882176888058726,-0.0132697783222354,-0.113495154899634,0.114015622258066,0.123896769596599,0.211009256913316,0.310033867621567,-0.15032525809491,0.133139671844779,-0.11392340629979,0.0588375370607793,0.101363265547815,0.00409307632833937,0.128249187977997,0.0967747812312412,-0.108990325148167,-0.369366885627143,-0.0643368363309112,0.302207573252464,0.0151138030772956,-0.0135360579572271,-0.00185067276851956,-0.0743264853631145,0.38198855244589,-0.116605823021814,0.0858077593433593,0.229470215198347,0.216431650532441,0.054427762203968,0.458565630809495,0.478298607791283,-0.0601806680926738,0.176135738844126,-0.161555652894484,0.132612315770439,0.329698819263623,-0.0294153766203104,0.349990388470587,0.107995691679423,0.0881663699753962,0.0519375766670938,-0.040540363866175,0.105741787403495,0.252337597587748,0.00809806680764047,0.0637997275659649,0.0307995000540241,0.0782413328506381,0.0407317139032951,0.0216117972606302,-0.00762699993544005,-0.160407853513312,0.0766816723171976,0.168882171305402,-0.0878863059729722,0.158954065979395,0.123053934366204,0.152601150103982,-0.202760281473613,-0.26314166776184,0.104757836280771,0.198868011756268,-0.0957191603370198,0.0985163396764666,-0.0621343503684787,0.116685689046203,-0.0319022045818697,-0.134175830731332,0.0336333746968668,0.0409866862039162,0.0380656573205643,0.067851767934064,0.185382538274585
"amour",-0.051206537469654,-0.0658650453127086,-0.0369158985768691,0.0408790141976954,0.0307803423583961,0.0710666864915559,0.159993275593347,1,-0.0290021288843205,0.122481432420893,0.046701337243716,0.0993399027868898,0.105712256907432,0.136380526029895,0.0285417939773735,0.0654001380232013,-0.0222351077218953,-0.0146039554651211,0.10668335730724,0.0707466773904407,0.17978242262146,0.142275424168968,0.0670361698087715,0.101151387917322,-0.0227564560573429,0.0499175796048277,0.0842003682782713,0.136652165585184,0.144499300365595,0.0300057694059471,0.0343704129066519,0.03481096019354,-0.00514914907940841,-0.00572384599571284,0.122760073578089,0.0431669680095726,-0.0205031386853773,-0.0696470436680543,-0.064975499855431,-0.0104239851795319,0.00088014974084767,0.0570034970015315,0.109191570651972,-0.0195284089835899,0.150721961449022,0.0293488281168121,0.115820124987159,0.0727457021979562,-0.0118133098103675,0.0382632538200069,0.0089402301719166,0.0819618087003283,0.107930373454527,-0.0459396622457187,-0.00219302518234048,0.0509551394769751,0.0163399454168517,-0.074411969069304,0.178382467233562,0.0860536131656777,0.0595987213157421,0.121316064332954,0.0171868261697161,0.0502034780723392,0.0362332303152177,0.0547461545142711,0.0553645207695745,0.0289212899828696,-0.0289450687461066,0.0645037264077847,0.0169137821740446,0.043462099189292,0.0141466464261695,-0.026920946257941,0.0447245516996667,0.064973117471329,-0.0484579731967819,0.0239813532583176,0.0325706774244568,0.101937736127897,0.0100622157361162,-0.0162986915490467,0.0273243063591853,-0.0175921130430926,0.038283191652988,-0.0204788820725272,0.042164894831712,-0.0465807236808865,-0.062221428031516,0.0704750873598256,0.10333855431624,0.0472856148445896,0.0492279552776871,0.0254829238040314,-0.0244070393792443,0.0468735872192465,0.058997646878729,0.0212778141748737,-0.00551399511195225,-0.00997259870482287,-0.00114720606775636,0.034861354663205,0.019149826113909,0.0404849394842251,-0.0504072156682778,0.0744815484616012,0.0304603065317034,0.0351832094070861,-0.0161412155614121,0.0931012572131471,0.0797532191471672,-0.042450840809998,-0.0574471624854509,0.0183625356158583,-0.00149393980422345,0.0192353193681515,-0.021936393636726,0.0647527948788953,0.0215424311718497,-0.0151296427895869,0.0304955795232993,-0.0308884998107139,-0.0667547369877738,0.0784232741092279,-0.0164332938423362,0.0149649828140781,0.0120576013142489,-0.0388857797759961,0.0622868026459229,0.150225464098115,0.0285238491802661,0.0832725868108833,0.0167917954501003,0.047318504344694
"anciano",0.0315459062279885,-0.00430383951821974,-0.0563129331311923,0.0215169368558953,-0.00472476756104618,0.148070719588284,0.145249302319131,-0.0290021288843205,1,-0.0380619981467785,-0.00095596301116469,-0.081747484922731,-0.0860572632579422,-0.0384193443928187,-0.050669415410921,0.025157945653131,0.0747420544491008,0.038973837520255,0.00799239188352016,0.0556007972915613,0.102458153809016,0.0986074622852638,-0.024483347442188,0.00488699309632805,0.00030860806748058,0.053036979729463,-0.109969897169895,0.00423964333078902,-0.0270735201226193,0.0645793231268592,0.109316306074224,-0.00728215871102661,0.0173313405734401,0.0586262679342317,-0.0585851143505061,0.0662298673238767,0.205213087189687,0.0394967993517349,0.0424096067594101,0.11243907240303,0.29003292481497,-0.0520075130554965,-0.10201840713236,0.0347595490626244,0.00939406153503938,-0.0562348985207196,0.13259799631038,0.0406451376792184,-0.0171150413962413,0.029614433187357,0.0836548944676721,0.0817804024644119,-0.0253593856136792,0.0408298342944597,-0.0806047305297604,-0.0490675160382267,0.152289104606175,0.094837896494923,-0.102532721710774,-0.00669403881560495,-0.0230085524015488,-0.0216486098820244,-0.084260925810023,-0.0983485498545817,0.109104521075226,0.0312501312131595,0.106611186084142,0.303395108330766,-0.0198506205461239,0.038303449315923,0.020882780485728,-0.0159978379271528,0.0632038369638155,0.0964957458085212,-0.0249315479864856,-0.0432063374652544,-0.0732153253712231,-0.00128627402599329,-0.00979690665657904,0.314508806438885,-0.00254941058977282,-0.03394778780913,-0.0506786818319906,-0.0220965201304371,0.201910412021409,-0.0149343411470741,-0.0507642554627616,0.073079904679191,0.131316186271836,0.0317401847338875,0.010529159694749,0.12248410780068,-0.0488763542259715,0.057868725566364,-0.0551484502816591,-0.0193748200455293,0.0937437562340709,0.10393343644501,0.303189998709448,-0.0294014750350834,0.113404616645453,-0.0562791439894816,-0.0516813839840177,0.067578612937737,0.163022016805897,-0.14948663332197,-0.0813401457144732,-0.0184483826080529,0.0478410775304809,-0.0609641744336211,-0.0674111859771462,-0.0920981289712201,-0.0590247094501835,0.0752560615581021,0.0576555365698063,-0.0166751377698575,0.161922425092899,0.0334905383068151,0.0314841249492109,-0.0109193928687866,-0.136571922414834,0.0956491859218465,0.131750437825133,-0.047094283374814,-0.0432746804010868,0.0900343826473216,0.335168916727352,-0.069895054787054,-0.0425763129838238,-0.0273117178268663,-0.00569136887301729,-0.128361548569079,0.108351560658434,-0.00852447498436393
"andrógino",0.0998765758630128,-0.00610121371072159,0.0869315788502919,0.0356897066200717,0.0811842787719005,0.130484971677214,0.148941367095844,0.122481432420893,-0.0380619981467785,1,0.0923816042237053,0.084389048962365,0.128390911534701,0.154052320102023,0.172531937016314,0.194398975975902,0.116771819452985,-0.0212341384888789,0.0579997317866889,0.11158742886938,0.0973490236906148,0.223800486906204,-0.045926532805884,0.0218069579341272,-0.0307636336377905,-0.0357815494247105,0.0824304351653528,0.145800880220243,0.131459706813049,0.070035709575897,0.00160942988969582,0.025445605926847,-0.00816340258559579,-0.045924776369264,0.0252299545979118,-0.00134845333251863,0.129927194173093,-0.060307921169985,-0.0225311996025995,0.134483482425144,0.0757663141089352,0.0638431870695182,0.0392243758355169,0.0507095478041343,0.0498796317093936,0.125633810591696,0.141717434262829,0.111969568843649,0.13937460068936,-0.0079544662302766,-0.0612375656813796,0.112302986496357,0.0942505273984085,0.00682719712548991,0.0406041051109981,-0.0136379011521528,-0.0101710465327479,0.129641503939485,0.0786135842587599,0.00699137362888898,0.125865605161517,0.174822510017563,0.0720484950665159,-0.0685813766882326,0.0896073358729324,0.0172177845376096,0.0915993404636376,0.00321019068368124,-0.0252878144548998,-0.0629574909288241,-0.0296111572774841,0.125154813372469,0.0384660289616459,0.0331937221792115,0.0951895772905607,0.142328039369523,-0.0530871130370474,-0.250198723702245,0.108681478931363,0.147843478244569,-0.0466394797145228,0.0491759179710612,-0.00717771740221818,0.0568066730169715,0.0144868598838544,-0.056748827682962,-0.00475550927107498,0.00091841967895566,0.092197352520061,0.0119743511341379,0.130530119125513,0.144121334678567,0.112876689474084,0.164828356868337,-0.0771421862153973,0.0814086225606032,0.014613795692531,0.0194985515232075,-0.0489750527697297,0.138742658293542,0.0241863123586684,0.0219452263423025,-0.0123852805844396,-0.0604715613391369,0.0330220382705344,0.0419657942942275,0.0447094453357001,0.0469189696643889,0.0816715346257206,0.0764784522861496,0.0771601588110202,0.075273566195399,-0.0179292950352018,0.112007880522181,0.129657164040019,-0.0269738162128933,0.0222796740001116,0.081931034674438,0.0784217140388443,0.101019985138983,-0.0979250193688401,-0.038709253868356,0.0155287331948206,-0.0141831405604459,0.149731311026013,0.0297779448322479,-0.133679005837443,0.0624502775148415,0.0206747862548054,-0.0280296449918702,0.107185505222505,0.157976680101513,-0.0564198655990048,0.042121227068965
