"","abortus","aktivist","aktivizam","atraktivna","autoritet","bogat","bolest","bordel","brak","budizam","dama","delirij","devijacija","devijantno","diskriminacija","djevojka","drolja","etika","fantazija","feministkinja","feminizam","flerta","genitalije","genitalni","glamurozna","glava","gospodin","gospodina","grijeh","harem","heteroseksualac","hijerarhija","hinduizam","hiv","homofobija","identitet","imaginarno","incest","islam","jednakost","judaizam","karijera","kastracija","klopka","kontracepcija","kurva","legalizirati","lezbijka","lgbt","lijepa","ljubav","lopta","mafija","majka","matematika","medvjed","miraz","moda","naknada","napad","napustiti","nasilje","nebo","nelagoda","nemoralno","nenormalna","neprirodno","nered","netolerancija","nevidljiva","nevidljivost","obitelj","obrazovanje","obrnuto","okrivljavanje","orgija","osuditi","otac","plodno","plodnost","ponos","porno","pornografija","poslodavac","pravda","preljub","prirodno","pristanak","privilegija","proganjanje","promet","prostitucija","prostitutka","queer","radikalno","radnik","raj","razvod","religija","religiozan","represija","rod","roditelj","roditeljstvo","sakrament","samosvijest","savjetovanje","segregacija","seks","seksi","seksizam","seksualno","seksualnost","sentimentalna","sida","silovanje","slatko","sleng","spasenje","sport","stabljika","status","stav","stereotip","tijelo","tranzicija","ubojstvo","ugnjetavanje","uloga","umjetnost","uvreda","uvredljivo","uznemiravanje","vagina","varanje","vodstvo","vrag","zamjenica","zamka","zaposlenik","zina","zlo","zlostavljanje"
"abortus",1,-0.069957260529276,0.0557120736143363,0.0638438020869066,0.0779608896931974,0.0201610332401708,0.110932076247794,0.114056736718082,0.231445367155472,0.00254235532996745,0.020859192112148,-0.00396641717244057,0.00919923152388377,0.0830981623975115,-0.00741472284635251,0.0802103459484187,0.0973477945953277,-0.0861989219418863,0.0586136780111006,-0.0889772952729245,0.031883507702969,0.0411970583429679,0.0261483308879186,0.0875131713915863,0.00855151212876011,-0.018475646128761,0.00252934068372761,-0.021302275751784,0.034970391537747,0.0372076328128442,0.0537474071753024,-0.0635594673580568,-0.0387802979577506,0.136204132463866,-0.00318807457562483,0.0564429971236312,0.0134126060710551,0.054128457568469,-0.0652836596037675,0.00419968018727552,0.0194035582239543,0.0696316981262482,0.0750882438227615,-0.0875826139167359,0.0528242666217573,0.0926735329354153,0.10614942986683,0.1020826631603,0.0150712476053048,-0.0280577188476075,0.056336627740224,-0.0948998872601023,0.0353102975362377,0.129164138691998,-0.0235234913953062,0.0216899784577456,0.0760770055094876,0.120086856424727,0.0967848295756028,0.110826036411512,-0.00423600053221564,0.155779678887495,-0.120133224287599,0.075371622887323,0.0794754709888703,-0.0137775930332584,0.153495838685686,0.0610988751384765,0.0532265557952087,-0.135805756798695,-0.0410558874410689,0.072200181045292,0.196399040486629,-0.0179689178796817,-0.0559321734708851,-0.0402354086998617,0.110152380904191,0.102192009551094,-0.0749950648291307,0.146740727442846,-0.0310625312895944,-0.0257635512587998,-0.00211268568709607,0.143396151747218,0.0527507830455238,0.167495884474179,-0.00257347576534877,0.227394635861109,-0.010535747294324,0.00123522843940472,-0.000339599662988455,0.092630720508741,0.141374568413351,-0.101561383229219,-0.0387898760864544,0.0506427391878564,0.103020028063312,0.279672395949437,-0.0842526398655642,-0.0175717344093208,-0.0260167563713282,0.115466427645665,0.18857824450774,0.126684775537596,0.0911876569929658,-0.0543288957960019,0.184472574327728,-0.0130848022424993,0.238178255698168,0.0368245342143676,0.0152383279524242,0.166588058665685,0.0377459571572575,0.0242984037912446,-0.0369862730707128,0.132912126885377,0.0346872015089951,-0.030127238629752,0.00785857699117135,-0.0546155273343326,-0.0233705983777187,0.130903958067058,0.0246861074396926,-0.0199478881153513,0.0855957766902472,0.0115785408311979,0.137390339979758,-0.0175812989558271,-0.00377437066226778,-0.120978585507278,0.011801806732557,0.0766709210566071,0.0382902464691306,0.0655666692918065,0.0466974423093517,-0.0603673562456277,-0.0258528155484605,0.0198063661669277,-0.0612232485898794,0.113784565348507,-0.0150316169305137,0.081924367727114,0.212501481343892
"aktivist",-0.069957260529276,1,0.0657021987571856,0.0492104850826849,0.143813165472916,0.119012497977491,-0.0162353099806534,0.102561544513055,0.114043019999976,0.105296625872187,-0.0435399961997432,0.0670992122452621,-0.0655124626706969,-0.0360659727591728,0.175509954975554,0.000589736772960331,0.0368276422300071,0.0384265514677532,-0.0394994009094686,0.143116791970864,-0.0672123507949465,0.00825245661839543,-0.118690054117078,0.00821245803131211,0.086187327239957,-0.0932208124465313,0.11922084717066,-0.0189124126191718,0.094633916001342,0.123671717952794,-0.00881393925984301,0.177605930224755,0.170237565997495,0.0693035814187129,0.0870590311791644,0.0868732753492139,0.0281467171053949,0.0991826285778066,0.10892012284052,0.0978109036472397,0.103901082635318,0.00968136644824115,-0.0426359918567652,0.0287080483211472,0.0571516420940101,0.0515879918467994,0.0685222998304198,0.107652357343126,0.114272350204909,0.0335265714505469,-0.0829367423802521,0.00475905381005737,0.0827500141958076,-0.0571509327919277,0.00439935233698912,0.043628650696786,-0.0496934337964742,-0.00347700099683945,-0.00408290028968852,0.0410951011769629,0.045981721799785,0.0276067007983769,-0.164534807457143,-0.0425371429000381,0.0514462835952197,0.0279140482816498,0.0270987179045928,-0.0575163415082548,0.0779197100561929,0.00583956201013522,-0.0861048836871767,0.037000890368807,0.0854250108551358,-0.0325311556981327,0.0143606283807586,0.134080066764699,0.119158291917355,0.0838776237721379,0.133329249935751,-0.0508130307133651,0.0801754097407037,0.058182411250033,0.046107079196092,0.138621240260102,0.133860505492083,0.0936207417461007,0.0363884757523883,0.0453502769614561,0.022465992524254,-0.0516521896863283,0.115470926651837,0.109864001601168,0.143406673225506,-0.0590096577676881,0.103012679372318,0.144496587526702,0.00179399068617797,0.00899700483655501,0.126465522536291,0.0376797612649371,0.0389503480467415,0.106322816310398,0.130479315033661,0.0965045658488277,0.0483415101022748,-0.037664447004568,0.0123059060022948,0.143662369582505,-0.0546516312799367,-0.0146917197211244,0.0717564179642917,0.133738977965115,-0.000749860819537339,0.118317883407569,0.0452280955487043,0.0676045463578377,-0.0403773088459836,0.178310276725457,-0.0379478502629363,0.0680291494925116,0.109764303660977,0.146436418481417,0.140171937085425,0.183137613039326,-0.113803101870253,0.0201157772471199,0.110470386820934,0.000934643516641011,0.0287867590453524,0.07708264392269,0.112085842210464,0.08342569454789,0.129609602559254,0.0170206063927417,0.0412178950216497,0.0964546405431892,-0.0511088776378789,0.182051021144885,-0.0320467669106622,0.174323349003174,0.0464172870304429,-0.0682178284252292,0.135936219314578
"aktivizam",0.0557120736143363,0.0657021987571856,1,-0.093146558467693,7.07065456867415e-05,0.0393591032412056,-0.0503074498391979,0.0722656477533909,0.172077160571477,0.0507595577464942,-0.0733969531094922,0.131149585843291,0.00331406137909387,-0.020844197884821,-0.00299760888770777,-0.163756072592722,-0.110576541161396,-0.0457605402098574,-0.113959792889724,-0.032039456824842,0.0715705858986458,-0.00155647867469191,0.075708422821849,0.093927697668149,-0.0533535115959557,0.00203955059459142,-0.0737029602467877,-0.0807979883012303,0.150477684624478,0.0623125678751754,-0.00304286439250255,-0.0339468395088543,0.141171852441655,-0.0185496387418054,0.0474593843510303,-0.0580617543527555,0.0523884021581218,-0.0825194899466272,0.163079284369267,0.0635723558144333,0.127750545853686,-0.0383581366672571,0.0377386037740909,0.0238449170510037,0.000970374626645464,-0.100538345258306,0.104140552450023,-0.0483968831025987,0.00683522982210088,-0.0303316047696297,-0.00744778928856078,-0.0117604034357346,0.0217570927826214,-0.106705350531437,-0.0191988420740328,0.0873021572337526,0.0337057789627461,-0.0332705499086267,-0.0556853897049795,0.0231050899570068,-0.0263461345851424,0.00928081060717781,0.106765004615177,0.0723680271129229,-0.0397242739724886,0.0627346160285517,0.059907723132911,0.116509015672036,-0.0254035622814042,-0.0223791495086329,0.0364782246768077,-0.0603895348235051,0.0109346118271088,-0.016754212735196,0.0287085616166362,-0.0388978818955304,-0.0723596934539282,0.0079926415601623,0.108765566791814,0.0233417627537272,0.117817670722155,-0.0116781779910597,0.00578859655803348,0.0687910646308058,-0.0306872593099064,0.0462698859472646,-0.0250004470788354,-0.0034307367094103,-0.0610560464415434,-0.0504938495650841,0.0987397530779339,-0.0658648900514516,-0.096086814270871,-0.0309246550872441,0.039313413936246,-0.0259424452916262,0.199533744910416,0.0808839648582464,0.0265006810128407,0.040392392541305,0.0163036980652139,-0.0198424780977304,0.0145886126695733,0.0086103016758305,0.126989212522549,0.0717896828780426,0.0727189074330516,0.0815201339791817,0.0477144455726519,-0.0770352136821195,0.0085334357569745,-0.0185874769603704,-0.0213555771812609,-0.0642157997908968,-0.0252477201923104,-0.109534261208107,0.0722439568052024,0.0695425525654243,0.0585523108510287,0.050606746420726,0.0441583059259905,0.0290374763960093,0.0457819405690836,0.054654703770675,0.00597344782683629,-0.0146718382884527,-0.176202140328221,0.0495316757214849,-0.116727422059131,-0.0644815859539656,-0.0324314836888296,-0.0143291488043598,0.00515307644412008,-0.011344593595783,-0.0840061868097416,0.105747616393447,0.0927807220765745,-0.083621887287269,0.038649213993988,-0.0266332542453829,-0.0026268260963685,0.015430923701898,-0.0258335561995119
"atraktivna",0.0638438020869066,0.0492104850826849,-0.093146558467693,1,-0.00668156648470937,0.0734675535421062,0.112827843066222,-0.0248387919721532,0.0530517330108351,-0.0459788845648722,0.289639594130204,0.067624815419805,0.0631092566301954,0.0880861619974399,0.198808930287415,0.318790317581018,0.242373448042179,0.051381851002362,0.172146930743681,0.10800177294549,0.0319731309852071,0.0498180583908428,0.0287318736825639,0.0639458187795818,0.299807576052681,0.0918241845350597,0.0247356669444712,0.0289033161385281,0.0454672991673756,-0.0450725466366385,0.119692441692017,0.139741717239871,0.0201565052561517,0.0476489512916315,0.139135210743835,-0.0101958082018971,0.0128571753969854,0.107463916387387,-0.016563066175853,0.038995875490098,-0.0474886557085389,0.109969533892107,0.0935837792472504,0.0800969567644245,0.153750360249694,0.195736058419124,0.0189294101389641,0.279154480456391,0.0510990843772429,0.502364550248196,0.186204964653122,0.107251546809695,-0.0178334620591951,0.126969884194178,0.1378999727223,0.0260062991982315,-0.0019791445731123,0.146872870481405,0.127205280459672,-0.110913515867755,-0.0372391700563905,0.0662534691321312,-0.0904961387422151,0.0874059314459427,0.0503369774782999,0.268466526030747,0.0697025704575772,0.00564040183104435,0.0660780661579224,0.228774748872712,0.000369179225364519,0.0222898528303859,0.0135915409549149,0.028626978749892,-0.00629815466557293,0.0682976756641653,0.0668545957565054,-0.0883642955361338,0.0531361955956084,0.0623497896015987,-0.0199324420690242,0.122343997423999,0.165971559309848,-0.0139567320592851,0.0517161610780779,-0.00313392767830617,0.171708794145085,0.00301518725868654,0.069309625711887,-0.0536484555081921,-0.172357309414775,0.106822413787787,0.208444210497633,0.065641592917606,0.108089899661601,0.0177694151924976,-0.105099285702343,0.0307744385775092,0.113184926039698,0.0764640644864467,0.100995593557691,0.0226554294567519,-0.0295716658422974,0.0950722775808121,-0.0296623800460487,0.0500433635912337,-0.0210332355948261,0.0618973075439951,0.156684233097163,0.409590685295774,0.0750162171323164,0.176716080777921,0.118092659867718,0.23734470461162,-0.0496652091654117,0.105619580685768,0.147002607133384,0.0426250324684601,-0.1292365313625,0.00205637524879769,0.0737751970404946,-0.0552903972404146,0.0041098904461314,0.102077431526786,-0.0746227057716532,0.170574588249687,0.0238278258496807,0.0565305996569218,0.134185971974872,0.0867520311477323,0.130320077320111,0.203333226740079,0.0422577891654785,0.142792835621667,0.0366547716169024,-0.0816064551693981,-0.0631633205123991,0.138756352363382,0.0985494379131524,-0.0452962544127974,0.0333773842224653,-0.0284781370628208,0.0270086563585876
"autoritet",0.0779608896931974,0.143813165472916,7.07065456867415e-05,-0.00668156648470937,1,0.0419378575007586,0.0287169385620978,0.0884172764626781,0.237807715673636,0.115279137219846,-0.0588275474261248,0.133592463655463,-0.0534841031567077,-0.0460596049248463,0.0992926937859102,-0.125662509047144,-0.0174517776948769,0.111189291343588,0.00258458231172664,0.122565764083889,-0.00797741015309842,0.0525117110158781,0.0105226556117635,0.0342456485832919,-0.0211661180482372,-0.0726346290275058,0.0198656131878204,-0.0166359436840053,0.210250106356059,0.0994708174922635,0.0645182732169886,0.157606410088651,0.157498923196346,0.08817292393453,0.0594505229804509,0.249481636406869,0.080533729415829,0.0830099177643588,0.17776075805705,0.198552716163497,0.17584432021672,0.0649742277374853,0.00304044990669041,0.0670369368701037,-0.0105008284875584,-0.00592275409196062,0.0109270792757207,0.0358817217731926,0.0753775186576506,-0.0993814783473451,0.0528345379452149,-0.164499976522913,-0.0435835582309954,0.00454031689079349,0.117959387115226,-0.0450231007782181,0.0906776332254022,-0.0595009788762715,0.00329951762420733,0.146154322795377,0.0678149971507887,0.155665752067994,-0.130517607898636,0.0052525223033109,0.149499533075303,0.0112483524370066,0.0534671467614917,0.138119523774703,0.155852701246716,0.048068447399733,0.132529249027807,0.0861177141983911,0.156004999590685,0.0239268916892753,0.0904487784359097,0.0246755856771244,0.088344535273722,0.168119483844505,-0.0764821387716379,-0.00546752079742679,0.306359673889732,-0.0709773804910265,0.0234322154217414,0.160681876604902,0.0889733831665482,0.193819775345474,0.0194581840258889,0.156658063380488,0.216512356991886,0.0642318458355014,0.0611881308682998,0.0375172239885301,-0.0283218083868651,-0.0169023704988303,0.107623465474423,0.0653734778336415,0.0435518652803773,0.139492516151178,0.178225123935332,0.124498078280916,0.0580701960649783,0.19695065271482,0.168022662221643,0.185625194055082,0.114012340938363,0.169713933846324,0.0414369511931985,0.0331331094196736,0.0650951966122471,-0.10191498814653,0.160916333379552,0.065088216447319,0.188000112963657,-0.0905878910901409,-0.0828412282227363,-0.0115410751037368,-0.132024695842494,0.0207088383466914,0.154601159198696,0.0799679639484335,-0.0279297038329937,0.34006743237766,0.451673078140483,0.140194046881498,0.00399909678997046,-0.0172803330697701,0.0813606460836082,0.199024342648719,0.114393974523601,0.063045572800008,0.148493093189333,0.106034898818905,0.0766543493228214,0.0227757909826636,0.0619079779067283,0.211549476079974,0.0788721474759442,0.0976910628535359,0.0607937821281518,0.136285231581245,-0.0353239873901823,0.103385086274154,0.0626194498739329
"bogat",0.0201610332401708,0.119012497977491,0.0393591032412056,0.0734675535421062,0.0419378575007586,1,-0.0229641865902187,0.0511907303485361,0.180911163739983,0.0340727134747779,0.0039474024500497,-0.0554956639497624,0.027321129183252,0.0566620738200911,-0.0675492640941163,0.0145793237536432,-0.00309222766422692,-0.0453653952159953,-0.0300648811001573,0.0591187435181808,0.0141328629350024,-0.0637578173600683,-0.134675424875325,0.0257874844201985,0.0838519576909182,-0.00554531082892463,0.200147374702191,-0.0816883942929034,0.112973990810336,0.150439504295466,0.094866400780238,-0.0621120726145306,0.103101393347141,-0.0119420230977354,0.0539722075858755,0.0383994486927337,0.124828924398915,-0.107333116147662,0.0658552012690321,-0.0457046978036601,-0.00250389909662476,0.0846841938094295,-0.0563978778238079,-0.0431524399995441,-0.0382430047607761,0.0789795059730789,0.0476465861201648,0.0598184071538379,0.091867566883082,0.138888840669818,0.105296723899033,-0.118065172635556,-0.0230419436565581,0.0679742077374382,-0.00471348870749075,0.110697732253706,0.162890209432166,0.0890032876815095,-0.0775141264971034,-0.15345729010803,0.0910924215705831,-0.0401764959811749,-0.0516437874960707,-0.0392684114995039,0.0659300332087995,-0.0578018417858966,0.0655272764518236,0.0318278699130846,-0.0398601038473401,0.00631867694192453,0.013599935645567,0.0436382098841255,0.117085219623373,0.0431966693590951,0.0702865425085074,0.00787211578825532,0.0219744095230484,0.298156385834125,0.0511703096920796,-0.081529767079877,0.0684155704163336,-0.000923284191899409,-0.00995104172406476,0.131497660964054,0.045558754994233,-0.00563759767065062,0.171295496656477,0.0321415417759432,0.000467359259718245,-0.0111832777681891,-0.0711589315223875,-0.0516454740315754,0.0965970963652911,0.0851401166057718,0.137510786734512,0.177117844373261,0.0964945199592991,0.153915522657222,-0.0149735345577569,0.246831272210025,-0.0173647783381355,0.140628706265285,0.21352439471655,0.0938861100463016,0.0299260223353841,0.010734156906635,0.114063952139189,-0.0103790348200484,0.0986132009644497,0.163302820190437,0.00702388138510361,0.0475088867798808,0.0966355867171096,0.182240631859361,-0.0954837607637019,-0.0636400880257672,0.117373325496634,0.0409583597209838,0.129901606654813,0.111904961543793,0.134876615731158,0.0312294121190301,0.0296397116885163,0.113314197925366,-0.0742518887604032,0.00783993535743276,-0.0395227814116517,0.0619877166495745,-0.00438966000166948,0.106926978106495,0.0440104723844912,0.110955968276998,0.0283933864287198,-0.0341388222433483,0.0404278829663254,-0.00126553041406562,0.10416851064941,-0.0407574647363841,-0.023486398518028,0.179171822089166,-0.00707050571262657,0.0703059594206352,-0.00493669983727797
"bolest",0.110932076247794,-0.0162353099806534,-0.0503074498391979,0.112827843066222,0.0287169385620978,-0.0229641865902187,1,-0.0153902924860829,0.142011889788041,0.0838587458921606,0.110460463651799,0.147431531535546,0.0727872765497293,0.0945837392041174,0.230709060884646,0.183310680796327,0.176026334026942,0.143802108804512,0.157515144667373,0.147111341740728,0.0869721423117352,-0.0292131489418487,0.0181478636945999,0.193687000129673,0.0495526163632372,0.0974895191430172,-0.152178716189211,-0.118200821574878,0.171444218024865,0.0131195142539813,-0.0538704497164328,0.184404474158727,0.17520864525908,0.357931799711582,0.184511985425183,0.0995756630854364,0.0404348508724413,0.267108852995926,0.171595158426979,0.0663892156881608,0.126142131859857,0.152837891681662,0.0693864565364895,0.134441123022448,0.242691299376288,0.187119494649709,0.0810066727438391,0.141690050270162,0.101728593966091,0.0309193621145723,0.325380327360248,0.107924145286531,0.110875339961899,0.253774651445821,0.153265068616097,0.0522865071192737,0.032005437988296,0.143723996533583,0.0950741065509186,0.0872792258472301,-0.0173864937193049,0.229361908432162,-0.00591245175236802,0.0919473838117775,0.183333111632284,0.171290666292804,0.0364839131184137,0.0618401205889572,0.190679578361603,0.0973429977705104,0.191830202158217,0.314598690200015,0.112974464380321,0.00763131564149878,0.0416907904068468,-0.0422030042234627,-0.0263338647284452,0.0175481075921227,0.0493768342218071,0.231553139898348,0.0890879209561963,-0.0968849366729504,0.0622004097966702,0.055631340037654,0.137687312405366,0.136818268823598,0.174457253787527,0.0820387886146453,0.124675406157277,0.0743119582671988,-0.0641666899251913,0.0954327795239196,0.112464551678664,-0.0329042873153759,-0.00254527803602377,-0.090036471602244,0.0388620975748317,0.0607200082089176,0.165232482683293,0.072919349214213,0.162194839890075,0.0207655353550345,0.0598922068594271,0.169391271612323,0.0318585748695544,0.0113933661390168,0.0552433402534767,0.0248442282029948,0.0685979486183871,-0.0420118155805845,0.141449380982524,0.150932409495142,0.26697972122884,0.046934148469705,0.10844811158153,0.058051986588431,0.0300318822583763,0.070290904341521,0.0311816617788862,-0.0166072502781694,0.100730308784826,-0.00834146732070737,-0.00436081358605393,0.0774833608652212,0.13758447756809,0.153757666505977,0.074295019402789,0.135753889652415,0.179888076057123,0.232568462856709,0.153482211230509,-0.00278821115263198,0.0543879220077614,0.178799214083444,0.0318835739206093,0.0224559270996978,0.0167215776795384,-0.0150564832162696,0.152781794000885,-0.0848266334052882,0.0552542227524572,0.222300057474828,0.161667566725279
"bordel",0.114056736718082,0.102561544513055,0.0722656477533909,-0.0248387919721532,0.0884172764626781,0.0511907303485361,-0.0153902924860829,1,0.145320189633453,-0.005828157550912,0.0375052539941851,-0.0302874356917166,0.0443818398745889,-0.0712225581860573,-0.0251097005511612,-0.0377898043409551,0.0653927873135198,0.0157636992657836,-0.0591314450799478,-0.0668610086857377,-0.0910403055651539,0.0632984598987794,0.0520324254971095,0.0636222727495231,-0.0715012381401014,-0.0389753661461949,0.083480516663148,0.0514507148935484,0.0849853529370639,0.109799930189637,-0.0728854058387784,0.0292355773142951,0.00136521095958284,-0.0739254476300844,-0.0948292689258077,0.0830313764620462,0.0415727226689007,0.0216859839063556,0.0616601825872482,0.0219580794727235,0.0960630410331502,-0.0553222854291165,-0.00636377310205179,0.0112576333349996,0.00299798438648242,0.0895530568176959,0.109511987663945,-0.0520772625731143,0.031741348135491,0.0331819609554391,0.0541913759072324,-0.104343027431791,0.113038759430724,-0.0347128592787608,-0.0632908296518166,0.081464606187303,0.0658620377297413,0.109096091717771,0.00432748156615713,0.0302350458965904,-0.0154255149510644,0.0902189569259318,-0.0298750799091338,-0.0215580713117975,0.0217379313434586,0.0181574029732521,-0.0764581806034021,0.157149701978219,-0.060979235819053,0.00404754854265395,-0.0631642018134701,0.0873395222481964,0.0670861904175152,-0.0924166909998803,-0.113687778315924,0.0586893845097171,-0.0157180179154231,0.0479190680454697,-0.108221316683967,-0.0192691553633086,0.00775526071112796,0.0450589210817817,0.00389317416098094,0.0148643135864265,-0.0460773443727728,0.0764686823253649,-0.0301141941562767,0.0107421700908966,-0.0282114945275536,0.00923559136067708,0.144299516670187,0.060086983475842,0.0461163192161841,0.0839958418703461,-0.0263905231586648,0.200255713924414,0.167872667522532,0.0607041357691455,0.0133773604162053,0.0815989462370229,0.0529256169750066,0.00824634768259906,0.0147094822985003,0.0182807026766431,0.0461465973639972,-0.0304034300562188,0.155826308565614,0.0511255620507808,0.164164962375347,0.0222664111667399,0.0666030778808352,-0.00635658264629049,-0.0249294832787845,0.0748536733338941,0.0189266505154806,0.00144712281320771,0.0198196152911675,0.123742863894098,0.00208811299721927,0.107302378604685,0.0487954744380125,0.00043452417658339,0.0534077050378776,0.0925604569231467,0.0396885477368889,-0.119333678662485,0.0276080614154754,0.0432237812019846,-0.0997359804473819,0.055827837601592,0.0128216329697087,-0.00824140753966024,-0.0529606872113546,0.0599316238738672,-0.00874965513514984,-0.0620422681631801,0.0301604086321187,-0.105051673177459,0.0329979015166334,0.0727837212210637,0.0319319535574207,-0.0179669417383881,-0.0143193158154938
"brak",0.231445367155472,0.114043019999976,0.172077160571477,0.0530517330108351,0.237807715673636,0.180911163739983,0.142011889788041,0.145320189633453,1,0.052611852453854,0.0600686082835288,0.0665762402298059,0.0578709617678621,0.0129116392232389,0.046317145767806,0.091175317836159,0.0611238692444607,-0.0218198307604679,0.114285881875121,0.0757864527137347,0.0251980136095747,0.0966156234906545,0.00429797882326468,0.0582202934553981,-0.0176221198922586,-0.0728337228712394,0.138675137953863,0.0202704036605394,0.319351692430197,0.170128281365978,0.0960584592384923,0.05892908993696,0.120854274699636,0.123646856504747,0.1472181684309,0.260093896155471,0.0619603194309349,0.151583564141211,0.203334908242765,0.11739021962927,0.103331127141533,0.232978203882398,0.111504502693894,-0.0186519067348858,0.0569670422968365,0.0717713450317198,0.0841519039673458,0.103291954335101,0.0154242049169224,0.0797150201925993,0.299528471128455,-0.075443768231,-0.0134642202579242,0.191782781967546,0.0032948418073498,0.0837521546026133,0.21502259511702,0.120325964560808,-0.0244183148156945,0.147924390740672,0.0673066473612249,0.147665937477032,-0.0131765368082844,0.0117698196378466,0.102093809252756,0.0143670371221234,0.0961859286901493,0.167834288764479,-0.0418111660421594,-0.00608827879740767,0.00519547342650387,0.209758410119933,0.102174650092952,-0.00653821671236201,0.0912097222453505,-0.0834061113389477,0.029691154808141,0.353839554276687,0.0628563640211315,0.13951786348079,0.233774495616105,-0.0882251117270592,0.0534966840698527,0.255746779259309,0.00778703666897205,0.232323241527317,0.137622334452991,0.211220943178949,0.0814984185847356,0.11730082635476,0.0886739129723049,0.0914395495064699,0.0648079044093498,0.00369729585070929,0.0422568782219824,0.159841318100301,0.147928873368593,0.486873864625947,0.173154049674949,0.0865001060886733,0.0667221741992964,0.195737460384568,0.280807498612023,0.265678392404698,0.266577575926993,-0.027131744608323,0.189562741285048,0.0729337250757878,0.461610350500144,0.0780757809664858,0.200249978832966,0.115863114663142,0.168360034869033,0.10085473773595,-0.0110698607276726,0.0897888454208876,0.0295399326390078,0.0136892541824356,0.168241705343427,0.155951753832799,-0.0299812570748482,0.217333753614626,0.321013316948712,0.142718188512946,0.0324770011081834,0.115880005524091,0.10147666869319,0.178001729995965,0.106985929975213,0.0409353423820169,0.0771585870052045,0.00708716087858355,0.0421119224560291,0.00936475566309591,0.146884345289332,0.0766670429074683,0.0724869593618556,-0.062257904184807,-0.0111778234345542,0.0806961009087895,-0.00852901962769006,0.153033572670984,0.126032738694653
"budizam",0.00254235532996745,0.105296625872187,0.0507595577464942,-0.0459788845648722,0.115279137219846,0.0340727134747779,0.0838587458921606,-0.005828157550912,0.052611852453854,1,-0.00439475128024207,-0.0914312104348354,-0.0235824628908345,0.0208030534129523,0.148939498207155,-0.0185687245209751,0.00187206888989207,0.136493388872249,0.129604800429455,0.0463345075761077,0.0300435818174213,-0.0129259998069299,0.0518218782553053,-0.0203179631573066,-0.0891188522862332,-0.0130379575303583,-0.0130028403953687,-0.114116127534602,0.00287580076013481,0.00433315674666671,0.00961840142634578,0.163783767075283,0.31099086901659,-0.0109722853115127,0.0257229568777551,-0.0495256257872236,0.00475750463113778,-0.0411272810890259,0.200467221149652,0.204800004974972,0.195531011106968,0.0795765284162658,0.188490793086102,-0.0823892882645865,0.0476748369650526,-0.0599510132728981,0.0245005153819256,-0.0469918147372969,0.0242560261916211,-0.0946986532513233,0.0223603090576703,0.0420912695823386,0.0854763379213012,0.0169150357370246,0.165871292590176,-0.0642248651215069,-0.00448632741924479,0.115063223604611,-0.0483729955711051,-0.00863108900010474,-0.0625155234029943,0.12476402853793,0.0394091272722117,0.0946750974252082,0.0213910493509397,-0.0580153892217364,0.00363320989295137,-0.0874777707383002,0.0965133528536173,0.0875457639428877,0.0332031648423681,0.0429610353902616,0.291031201310905,-0.0253523616133117,0.0377797495399617,0.0640176457214809,-0.0667058349296792,0.0406420795839355,0.180436034126196,0.0547871814247806,0.0446451916969012,0.00560095187815247,0.163619709981414,0.0155065098385527,0.0274806949193119,-0.00114530511607676,0.0213646132415048,0.020404850345258,0.113593087594463,0.00387405224573588,-0.00570730077700234,0.0426272053671864,0.0570216538369163,0.0698815621045283,0.233609628667084,-0.0868293612367238,0.0575240435658492,0.00131043026797347,0.277490823982184,0.082310197837638,0.107123133746065,0.0593428693540148,-0.0800910474239094,0.193775567943834,0.109121863285757,0.0524357522758646,0.121639156241244,0.12052649007053,-0.00835745780208683,-0.0561932414092174,0.0151808935593597,-0.0176485229997316,0.0868601436602109,-0.00699753259352208,0.0420938102605844,0.0161846891078201,0.0166930043172049,0.0182580940826162,0.181157021978627,0.0787834436266441,0.0910735863748188,0.0619729921762051,0.0837732296473006,0.0436017089228033,0.0210529455259787,0.0479899672639552,-0.0264882960383057,0.104613264745336,0.096665422342385,0.280689151965101,0.0823810727423105,0.0489411756005543,0.0541377947302162,0.0187710865473568,0.135459120063795,0.170906333796528,-0.0728512865697589,-0.0929716373906234,-0.11794611613623,-0.0710376896096989,0.0493587252516981,0.00509356091217466,0.0156023398284008
